,Drug Name,RXCUI,Therapeutic Class
1823,ustekinumab,847083,Drug Hypersensitivity
1824,ustekinumab,847083,"Arthritis, Psoriatic"
1826,ustekinumab,847083,Interleukin-12 Antagonists
1829,ustekinumab,847083,Interleukin-12 Antagonist
1831,ustekinumab,847083,Interleukin-23 Antagonists
1834,ustekinumab,847083,Interleukin-23 Antagonist
1844,vedolizumab,1538097,Monoclonal antibody-containing product
1845,vedolizumab,1538097,Immunomodulator-containing product
1846,vedolizumab,1538097,Alpha-4 integrin receptor antagonist-containing product
1847,vedolizumab,1538097,"Colitis, Ulcerative"
1848,vedolizumab,1538097,Crohn Disease
1849,vedolizumab,1538097,Drug Hypersensitivity
1850,vedolizumab,1538097,Enteritis
1851,vedolizumab,1538097,"Antibodies, Monoclonal, Humanized"
1852,vedolizumab,1538097,Monoclonal antibodies
1853,vedolizumab,1538097,Decreased Adhesion Factor Activity
1854,vedolizumab,1538097,Integrin Receptor Antagonists
1857,vedolizumab,1538097,Integrin Receptor Antagonist
1859,vedolizumab,1538097,"GASTRIC MEDICATIONS,OTHER"
